spike_count,mean_firing_rate,spike_count,mean_firing_rate,mean_isi,isi_variability,burstiness,spectral_power,spike_times
19102,9551.0,19102,9551.0,0.1020836605413329,0.3229196602926526,0.02041110319978192,379556000.0,[  50.    50.6   51.3 ... 1999.7 1999.8 1999.9]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
0,0.0,0,0.0,2000.0,0.0,0.0,0.0,[]
